age,job,marital,education,default,balance,housing,loan,duration
55,services,divorced,secondary,yes,1,yes,no,208
45,admin.,single,secondary,no,206,yes,no,193
47,services,divorced,secondary,no,164,no,no,212
42,technician,single,secondary,no,690,yes,no,20
59,admin.,married,secondary,no,2343,yes,no,1042
46,self-employed,married,tertiary,no,137,yes,yes,246
51,blue-collar,married,primary,no,173,yes,no,529
56,admin.,married,secondary,no,45,no,no,1467
41,technician,married,secondary,no,1270,yes,no,1389
46,management,divorced,secondary,no,16,yes,yes,188
57,retired,married,secondary,no,486,yes,no,180
42,management,single,secondary,no,50,no,no,48
30,technician,married,secondary,no,152,yes,yes,213
60,admin.,married,secondary,no,290,yes,no,583
60,blue-collar,married,unknown,no,54,yes,no,221
57,entrepreneur,divorced,secondary,no,-37,no,no,173
36,management,married,tertiary,no,101,yes,yes,426
55,blue-collar,married,secondary,no,383,no,no,287
60,retired,married,tertiary,no,81,yes,no,101
39,technician,married,secondary,no,0,yes,no,203
46,management,married,tertiary,no,229,yes,no,197
44,blue-collar,married,secondary,no,-674,yes,no,257
53,blue-collar,married,primary,no,90,no,no,124
52,blue-collar,married,primary,no,128,yes,no,229
59,blue-collar,married,primary,no,179,yes,no,55
27,technician,single,tertiary,no,0,yes,no,400
44,blue-collar,married,secondary,no,54,yes,no,197
47,technician,married,tertiary,no,151,yes,no,190
34,admin.,married,secondary,no,61,no,yes,21
59,retired,single,secondary,no,30,yes,no,514
45,management,married,tertiary,no,523,yes,no,849
29,services,divorced,secondary,no,31,yes,no,194
46,technician,divorced,secondary,no,79,no,no,144
56,self-employed,married,primary,no,-34,yes,yes,212
36,blue-collar,married,primary,no,448,yes,no,286
59,retired,divorced,primary,no,81,yes,no,107
44,blue-collar,married,secondary,no,144,yes,no,247
41,admin.,married,secondary,no,351,yes,no,518
33,management,single,tertiary,no,-67,yes,no,364
59,management,divorced,tertiary,no,262,no,no,178
57,technician,married,primary,no,0,no,no,98
56,technician,divorced,unknown,no,56,yes,no,439
51,blue-collar,married,secondary,no,26,yes,no,79
34,admin.,married,unknown,no,3,yes,no,120
43,services,married,secondary,no,41,yes,yes,127
52,technician,married,tertiary,no,7,no,yes,175
33,technician,single,secondary,no,105,yes,no,262
29,admin.,single,secondary,no,818,yes,yes,61
34,services,married,secondary,no,-16,yes,yes,78
31,blue-collar,married,secondary,no,0,yes,no,143
55,services,married,secondary,no,2476,yes,no,579
55,management,married,unknown,no,1185,no,no,677
32,admin.,single,secondary,no,217,yes,no,345
38,technician,single,secondary,no,1685,yes,no,185
55,admin.,single,secondary,no,802,yes,yes,100
28,unemployed,single,tertiary,no,0,yes,no,125
23,blue-collar,married,secondary,no,94,yes,no,193
32,technician,single,secondary,no,0,yes,no,136
43,services,single,unknown,no,0,no,no,73
32,blue-collar,married,secondary,no,517,yes,no,528
46,blue-collar,married,secondary,no,265,yes,no,541
53,housemaid,divorced,primary,no,947,yes,no,163
34,self-employed,single,secondary,no,3,yes,no,301
57,unemployed,married,tertiary,no,42,no,no,46
37,blue-collar,married,secondary,no,37,yes,no,204
59,blue-collar,married,secondary,no,57,yes,no,98
33,services,married,secondary,no,22,yes,no,71
56,blue-collar,divorced,primary,no,8,yes,no,157
48,unemployed,married,secondary,no,293,yes,no,243
43,services,married,primary,no,3,yes,no,186
54,blue-collar,married,primary,no,348,yes,no,579
51,blue-collar,married,unknown,no,-19,yes,no,163
26,student,single,secondary,no,0,yes,no,610
40,management,married,tertiary,no,-4,yes,no,2033
39,management,married,secondary,no,18,yes,no,85
50,technician,married,primary,no,139,no,no,114
41,services,married,secondary,no,0,yes,no,114
51,blue-collar,married,unknown,no,1883,yes,no,57
60,retired,divorced,secondary,no,216,yes,no,238
52,blue-collar,married,secondary,no,782,yes,no,93
48,blue-collar,married,secondary,no,904,yes,no,128
48,services,married,unknown,no,1705,yes,no,107
39,technician,single,tertiary,no,47,yes,no,181
47,services,single,secondary,no,176,yes,no,303
40,blue-collar,married,secondary,no,1225,yes,no,558
45,technician,married,secondary,no,86,yes,no,270
26,admin.,single,secondary,no,82,yes,no,228
52,management,married,tertiary,no,271,yes,no,99
54,technician,married,secondary,no,1378,yes,no,240
54,admin.,married,tertiary,no,184,no,no,673
50,blue-collar,married,primary,no,0,no,no,233
35,blue-collar,married,secondary,no,0,yes,no,1056
44,services,married,secondary,no,1357,yes,yes,250
53,entrepreneur,married,unknown,no,19,yes,no,252
35,retired,single,primary,no,434,no,no,138
60,admin.,divorced,secondary,no,92,yes,no,130
53,admin.,divorced,secondary,no,1151,yes,no,412
48,unemployed,married,secondary,no,41,yes,no,179
34,technician,married,secondary,no,51,yes,no,19
54,services,married,secondary,no,214,yes,no,458
51,management,married,secondary,no,1161,yes,no,717
31,services,married,tertiary,no,37,yes,no,313
35,technician,divorced,secondary,no,787,yes,no,683
35,services,married,secondary,no,59,yes,no,1077
38,technician,married,secondary,no,253,yes,no,416
36,admin.,married,tertiary,no,211,yes,no,146
58,retired,married,primary,no,235,yes,no,167
40,services,divorced,unknown,no,4384,yes,no,315
54,management,married,secondary,no,4080,no,no,140
34,blue-collar,single,secondary,no,53,yes,yes,346
31,management,single,tertiary,no,0,yes,no,562
51,retired,married,secondary,no,2127,yes,no,172
33,management,married,tertiary,no,377,yes,no,217
55,management,married,tertiary,no,73,yes,no,142
42,admin.,married,secondary,no,445,yes,no,67
34,blue-collar,married,secondary,no,243,yes,no,291
33,blue-collar,single,secondary,no,307,yes,no,309
38,services,married,secondary,no,155,yes,no,248
50,technician,divorced,tertiary,no,173,no,yes,98
43,management,married,tertiary,no,400,yes,no,256
61,blue-collar,divorced,primary,no,1428,yes,no,82
47,admin.,married,secondary,no,219,yes,no,577
48,self-employed,married,tertiary,no,7,yes,no,286
44,blue-collar,married,secondary,no,575,yes,no,477
35,student,single,unknown,no,298,yes,no,611
35,services,married,secondary,no,0,yes,no,471
50,services,married,secondary,no,5699,yes,no,381
41,management,married,tertiary,no,176,yes,yes,42
41,management,married,tertiary,no,517,yes,no,251
39,services,single,unknown,no,257,yes,no,408
42,retired,married,secondary,no,56,yes,no,215
38,blue-collar,married,secondary,no,-390,yes,no,287
53,retired,married,secondary,no,330,yes,no,216
59,housemaid,divorced,primary,no,195,no,no,366
36,services,married,secondary,no,301,yes,no,210
54,blue-collar,married,primary,no,-41,yes,no,288
40,technician,married,tertiary,no,483,yes,no,168
47,unknown,married,unknown,no,28,no,no,338
53,unemployed,married,unknown,no,13,no,no,410
46,housemaid,married,primary,no,965,no,no,177
39,management,married,tertiary,no,378,yes,yes,127
40,unemployed,married,secondary,no,219,yes,no,357
28,blue-collar,married,primary,no,324,yes,no,175
35,entrepreneur,divorced,secondary,no,-69,yes,no,300
55,retired,married,secondary,no,0,no,yes,136
43,technician,divorced,unknown,no,205,yes,no,1419
48,blue-collar,married,primary,no,278,yes,no,125
58,management,married,unknown,no,1065,yes,no,213
33,management,single,tertiary,no,34,yes,no,27
36,blue-collar,married,unknown,no,1033,no,no,238
53,services,divorced,secondary,no,1467,yes,no,124
47,blue-collar,married,primary,no,-12,yes,no,18
31,services,married,secondary,no,388,yes,no,730
57,entrepreneur,married,secondary,no,294,yes,no,746
53,blue-collar,married,unknown,no,1827,no,no,121
55,blue-collar,married,primary,no,627,yes,no,247
45,blue-collar,married,primary,no,25,yes,no,40
53,admin.,divorced,secondary,no,315,yes,no,181
37,blue-collar,married,primary,no,0,yes,no,79
44,admin.,divorced,secondary,no,66,yes,no,206
49,blue-collar,divorced,primary,no,-9,yes,yes,389
46,technician,married,secondary,no,349,yes,yes,127
43,entrepreneur,married,unknown,no,100,yes,no,702
38,admin.,married,secondary,no,0,no,no,151
43,technician,married,secondary,no,434,yes,no,117
49,management,married,tertiary,no,3237,yes,no,232
42,management,married,unknown,no,275,no,no,408
22,blue-collar,single,secondary,no,0,yes,no,179
40,management,married,tertiary,no,207,yes,no,39
39,blue-collar,married,secondary,no,483,yes,no,282
51,services,married,secondary,no,2248,yes,no,714
49,admin.,married,secondary,no,428,yes,no,50
53,blue-collar,married,secondary,no,0,yes,yes,181
34,services,single,secondary,no,0,yes,no,142
33,technician,divorced,secondary,no,140,yes,no,227
50,management,single,tertiary,no,297,yes,no,119
39,blue-collar,married,primary,no,279,yes,no,361
59,entrepreneur,divorced,secondary,no,901,yes,no,73
30,technician,single,secondary,no,2573,yes,no,67
36,services,married,secondary,no,143,yes,yes,350
40,blue-collar,married,secondary,no,475,yes,no,332
53,blue-collar,married,secondary,no,70,yes,no,611
34,management,single,tertiary,no,318,yes,no,113
37,technician,married,secondary,no,275,yes,no,132
42,management,divorced,tertiary,no,742,yes,no,58
41,entrepreneur,married,primary,no,236,yes,no,151
30,student,single,tertiary,no,25,yes,no,89
37,management,single,tertiary,no,600,yes,no,152
39,admin.,divorced,secondary,no,-349,yes,no,611
41,blue-collar,married,primary,no,183,yes,yes,110
40,blue-collar,married,primary,no,0,yes,no,463
42,management,single,tertiary,no,0,yes,yes,562
40,blue-collar,divorced,primary,no,0,yes,no,962
57,technician,married,secondary,no,1078,yes,no,10
56,entrepreneur,divorced,secondary,no,155,no,no,118
37,admin.,married,secondary,no,190,yes,no,92
59,retired,married,secondary,no,319,yes,no,143
39,services,divorced,secondary,no,-185,yes,no,189
49,services,married,secondary,no,47,no,no,234
38,services,single,secondary,no,570,yes,no,75
36,self-employed,married,tertiary,no,19,no,no,189
50,blue-collar,married,primary,no,61,yes,no,621
41,admin.,married,secondary,no,-62,yes,yes,55
54,technician,married,tertiary,no,258,no,no,310
58,blue-collar,married,primary,no,76,yes,no,156
30,blue-collar,single,secondary,no,0,yes,no,5
33,admin.,single,secondary,no,352,yes,no,225
47,admin.,married,secondary,no,368,yes,no,125
50,technician,single,tertiary,no,339,yes,no,2
32,blue-collar,married,secondary,no,1331,yes,no,286
40,self-employed,married,secondary,no,672,yes,no,164
37,management,married,tertiary,no,58,yes,no,98
54,technician,single,unknown,no,447,yes,no,742
24,student,single,secondary,no,423,yes,no,226
54,management,married,tertiary,no,0,no,no,120
34,technician,married,secondary,no,19,yes,no,362
56,technician,divorced,primary,no,13,yes,no,357
31,blue-collar,single,secondary,no,3,yes,no,200
24,student,single,secondary,no,82,yes,no,204
42,blue-collar,divorced,primary,no,28,yes,no,126
57,technician,married,secondary,no,792,yes,no,65
42,blue-collar,married,unknown,no,408,yes,no,107
51,admin.,married,secondary,no,531,yes,no,267
57,retired,married,secondary,no,211,yes,no,248
36,services,single,secondary,no,62,yes,no,215
53,services,married,unknown,no,257,yes,no,209
50,technician,married,secondary,no,1234,yes,no,205
54,management,married,tertiary,no,313,yes,no,83
55,blue-collar,married,secondary,no,89,yes,no,106
44,blue-collar,married,secondary,no,129,yes,yes,189
43,management,married,unknown,no,0,yes,no,105
56,admin.,married,secondary,no,353,yes,no,106
54,technician,married,unknown,no,851,yes,no,108
55,services,divorced,primary,no,96,yes,yes,311
37,services,divorced,secondary,no,398,yes,yes,214
33,admin.,single,tertiary,no,193,no,no,132
46,admin.,married,secondary,no,-358,yes,no,358
36,blue-collar,married,secondary,no,539,yes,yes,453
51,technician,single,secondary,no,0,yes,no,364
40,retired,single,primary,no,0,no,no,136
42,blue-collar,married,secondary,no,490,yes,no,386
51,blue-collar,married,secondary,no,0,yes,no,173
49,blue-collar,married,unknown,no,403,yes,no,241
48,management,married,secondary,no,161,yes,no,224
32,technician,divorced,tertiary,no,2558,no,no,148
31,admin.,single,secondary,no,98,yes,no,196
55,management,single,tertiary,no,115,no,no,111
40,blue-collar,single,secondary,no,436,yes,no,231
47,technician,married,tertiary,no,831,yes,no,316
57,technician,married,unknown,no,206,yes,no,216
41,blue-collar,married,secondary,no,290,yes,no,240
48,blue-collar,married,secondary,no,1,no,no,669
42,blue-collar,married,unknown,no,57,yes,no,425
30,blue-collar,single,secondary,no,-457,yes,no,143
58,management,single,tertiary,no,1387,yes,no,174
45,management,divorced,tertiary,no,24598,yes,no,313
49,blue-collar,married,secondary,no,30,yes,no,135
42,admin.,single,secondary,no,1022,yes,no,146
53,technician,married,secondary,no,56,yes,yes,152
51,admin.,single,secondary,yes,-2,no,no,402
32,services,single,secondary,no,121,yes,no,213
41,blue-collar,single,secondary,no,842,yes,no,144
43,management,divorced,secondary,no,693,yes,no,124
40,blue-collar,divorced,secondary,no,-333,yes,no,183
50,blue-collar,married,primary,no,1533,yes,no,325
34,management,married,tertiary,no,46,yes,no,39
53,services,married,unknown,no,18,no,no,503
45,technician,married,secondary,no,44,yes,no,95
39,blue-collar,married,primary,no,-100,yes,no,680
44,services,married,tertiary,no,510,yes,no,421
55,management,married,tertiary,no,685,yes,no,174
46,management,single,tertiary,no,187,yes,no,113
45,blue-collar,married,secondary,no,66,yes,no,808
34,admin.,married,secondary,no,560,yes,no,198
36,blue-collar,married,secondary,no,0,yes,no,195
59,unknown,divorced,unknown,no,27,no,no,347
31,admin.,single,secondary,no,12,yes,no,208
44,blue-collar,single,secondary,no,34,yes,no,404
33,entrepreneur,single,tertiary,no,1068,yes,no,396
40,blue-collar,married,secondary,no,211,yes,no,216
46,admin.,single,tertiary,no,377,yes,no,98
48,management,married,tertiary,no,263,yes,no,350
42,services,married,secondary,no,1263,yes,no,114
27,services,married,secondary,no,8,yes,no,88
48,admin.,married,secondary,no,126,yes,yes,379
59,admin.,married,secondary,no,230,yes,no,190
46,technician,married,tertiary,no,841,yes,no,158
38,admin.,divorced,secondary,no,308,yes,no,102
43,management,divorced,tertiary,no,1,yes,no,306
38,admin.,divorced,tertiary,no,86,yes,no,218
23,student,single,secondary,no,157,yes,no,54
34,services,married,secondary,no,22,yes,no,344
38,admin.,married,secondary,no,46,yes,yes,195
37,blue-collar,married,secondary,no,1293,no,no,652
25,admin.,single,secondary,no,122,yes,no,286
48,blue-collar,married,unknown,no,131,yes,no,189
49,blue-collar,single,secondary,no,143,yes,no,83
38,admin.,single,secondary,no,393,no,no,184
43,blue-collar,married,primary,no,98,yes,no,235
33,management,married,tertiary,no,0,yes,no,290
55,blue-collar,married,secondary,no,224,yes,no,232
38,blue-collar,married,secondary,no,757,yes,no,133
49,services,married,secondary,no,245,yes,yes,318
40,management,married,secondary,no,8486,no,no,260
43,admin.,married,unknown,no,350,no,no,437
38,blue-collar,married,secondary,no,20,yes,no,402
58,services,married,secondary,no,1667,yes,yes,85
57,technician,married,unknown,no,345,yes,no,125
32,unemployed,married,secondary,no,10,yes,no,501
56,management,married,tertiary,no,830,yes,yes,1201
58,blue-collar,divorced,unknown,no,29,yes,no,253
60,retired,divorced,secondary,no,545,yes,no,1030
37,technician,married,tertiary,no,8730,yes,no,149
46,technician,divorced,tertiary,no,477,yes,no,114
27,admin.,married,secondary,no,4,yes,no,243
43,blue-collar,married,secondary,no,1205,yes,no,769
32,technician,single,secondary,no,0,yes,yes,135
40,admin.,single,secondary,no,263,yes,no,231
38,admin.,married,secondary,no,1,no,no,76
34,blue-collar,married,secondary,no,283,no,yes,199
47,blue-collar,married,primary,no,206,yes,no,152
42,housemaid,married,primary,no,17,yes,no,124
48,technician,married,secondary,no,141,yes,yes,424
29,self-employed,single,tertiary,no,16,yes,no,43
50,services,married,secondary,no,206,yes,no,154
52,technician,married,unknown,no,7,no,no,203
50,management,married,tertiary,no,0,no,no,326
58,retired,married,tertiary,no,0,no,no,393
46,blue-collar,divorced,primary,no,1927,yes,no,241
38,technician,married,secondary,no,284,yes,no,483
46,blue-collar,married,secondary,no,1660,yes,no,259
32,services,single,secondary,no,406,yes,no,227
51,blue-collar,married,primary,no,230,yes,no,673
39,admin.,single,secondary,no,-25,yes,no,576
48,admin.,married,secondary,no,182,yes,no,180
36,entrepreneur,married,tertiary,no,1169,yes,no,168
34,admin.,divorced,secondary,no,67,yes,no,90
40,technician,married,secondary,no,77,no,no,505
43,unemployed,married,secondary,no,0,yes,no,245
52,blue-collar,divorced,primary,no,55,yes,yes,186
33,technician,married,secondary,yes,72,yes,no,623
49,management,single,tertiary,no,163,yes,no,496
32,management,single,tertiary,no,151,yes,no,118
39,admin.,single,secondary,no,113,yes,no,342
40,blue-collar,married,secondary,no,0,yes,no,225
38,technician,single,tertiary,no,9,yes,no,185
43,management,married,secondary,no,375,yes,no,196
39,services,married,secondary,no,1142,yes,no,276
54,blue-collar,married,primary,no,2102,yes,no,76
38,technician,single,tertiary,no,4325,yes,no,87
40,blue-collar,married,secondary,no,217,yes,no,195
55,admin.,married,secondary,no,131,yes,no,744
42,management,married,tertiary,no,1680,yes,no,765
39,blue-collar,married,secondary,no,0,yes,no,262
40,blue-collar,married,primary,no,46,yes,no,119
32,blue-collar,married,secondary,no,320,yes,no,198
55,admin.,married,secondary,no,183,yes,no,150
45,blue-collar,married,secondary,no,39,no,no,241
35,management,single,tertiary,no,560,yes,no,181
58,technician,divorced,secondary,no,469,no,no,196
35,admin.,married,secondary,no,530,yes,no,149
49,services,married,primary,no,61,yes,no,246
34,technician,single,tertiary,no,242,yes,no,112
36,blue-collar,married,secondary,no,139,yes,no,309
24,self-employed,single,secondary,no,0,yes,no,278
34,technician,married,secondary,no,367,yes,no,140
51,admin.,divorced,secondary,no,228,yes,no,136
39,technician,single,unknown,no,45248,yes,no,1623
50,self-employed,married,unknown,no,-84,yes,no,101
32,services,single,secondary,no,310,yes,no,144
42,blue-collar,married,unknown,no,132,yes,no,238
50,technician,married,secondary,no,797,yes,no,354
40,services,married,secondary,no,71,no,no,79
46,management,divorced,unknown,no,2,yes,no,187
37,management,married,tertiary,no,231,yes,yes,451
34,blue-collar,married,secondary,no,270,yes,yes,159
44,blue-collar,married,secondary,no,274,yes,yes,409
40,admin.,single,secondary,no,-109,yes,yes,170
37,technician,married,secondary,no,1,yes,no,608
33,blue-collar,single,secondary,yes,-60,no,no,243
35,blue-collar,married,secondary,no,89,yes,no,145
58,blue-collar,divorced,secondary,no,-11,no,no,112
39,blue-collar,married,primary,no,0,yes,no,262
43,blue-collar,married,secondary,no,-509,yes,no,124
39,unemployed,married,primary,no,408,yes,no,53
36,services,single,primary,no,58,yes,no,134
57,retired,single,secondary,no,1640,no,yes,204
36,admin.,single,secondary,no,20,yes,no,186
50,blue-collar,married,primary,no,71,yes,no,678
55,blue-collar,married,secondary,no,52,yes,no,182
44,self-employed,married,tertiary,no,292,yes,no,162
44,services,divorced,secondary,no,424,yes,no,27
39,housemaid,single,primary,no,109,yes,no,699
46,blue-collar,married,unknown,no,1044,yes,no,43
39,blue-collar,married,secondary,no,983,yes,no,97
34,admin.,married,secondary,no,869,no,no,1677
40,blue-collar,married,primary,no,668,yes,no,283
50,management,married,tertiary,no,964,yes,no,323
31,management,single,secondary,no,301,yes,no,82
37,admin.,single,secondary,no,140,yes,no,310
39,management,single,secondary,no,1877,yes,no,185
51,blue-collar,married,primary,no,1127,yes,no,47
41,technician,married,secondary,no,871,yes,no,145
41,technician,married,secondary,no,767,yes,yes,204
43,blue-collar,married,secondary,no,0,no,no,187
30,services,single,secondary,no,209,yes,no,30
54,management,divorced,primary,no,0,no,no,472
43,blue-collar,divorced,secondary,no,110,yes,yes,448
59,management,divorced,tertiary,no,-76,yes,yes,264
47,technician,married,unknown,no,178,yes,no,169
40,blue-collar,married,primary,no,-66,yes,no,288
32,technician,married,secondary,no,0,yes,no,176
29,blue-collar,married,secondary,no,1,yes,no,215
36,blue-collar,married,secondary,no,0,yes,no,337
55,unemployed,married,tertiary,no,5345,no,no,278
30,blue-collar,divorced,secondary,no,-209,yes,no,188
39,admin.,single,secondary,no,0,yes,no,174
39,blue-collar,divorced,secondary,no,42,yes,no,226
50,blue-collar,divorced,secondary,no,41,yes,no,190
44,blue-collar,married,secondary,no,-99,yes,no,111
37,technician,single,secondary,no,17,yes,no,164
46,admin.,married,primary,no,276,yes,yes,157
32,technician,single,unknown,no,-170,no,no,46
37,management,single,tertiary,no,230,yes,yes,374
29,blue-collar,married,secondary,no,9,yes,no,349
41,blue-collar,married,secondary,no,946,yes,no,325
45,blue-collar,married,primary,no,1297,yes,no,233
57,retired,divorced,secondary,no,-331,yes,no,531
48,blue-collar,single,secondary,no,44,yes,no,153
60,retired,married,secondary,yes,15,no,no,80
26,admin.,single,secondary,no,712,yes,no,232
58,retired,married,secondary,no,5435,yes,no,118
34,admin.,married,secondary,no,507,yes,no,190
55,unemployed,divorced,secondary,no,387,yes,no,918
41,blue-collar,married,primary,no,0,yes,yes,238
50,management,divorced,secondary,no,1716,yes,no,82
49,entrepreneur,married,secondary,no,167,yes,yes,198
44,admin.,married,unknown,no,40,no,yes,160
44,blue-collar,married,primary,no,148,yes,no,211
31,technician,married,secondary,no,17,yes,yes,120
34,blue-collar,single,tertiary,no,1011,yes,no,136
46,management,single,unknown,no,1527,yes,no,269
42,management,married,tertiary,no,744,no,no,157
52,admin.,married,secondary,no,484,yes,no,128
29,management,single,tertiary,no,0,yes,no,211
53,retired,married,primary,no,136,yes,no,267
43,blue-collar,married,secondary,no,1335,yes,no,371
38,management,married,secondary,no,517,yes,no,288
46,management,married,tertiary,no,459,yes,no,221
48,management,divorced,unknown,no,549,yes,no,427
30,admin.,divorced,secondary,no,83,yes,yes,310
44,blue-collar,married,primary,no,213,no,no,158
31,housemaid,married,primary,no,203,yes,no,604
42,services,single,secondary,no,518,yes,no,198
40,management,single,tertiary,no,3877,yes,no,145
52,admin.,married,secondary,no,1236,yes,no,247
45,blue-collar,divorced,secondary,no,756,yes,no,179
48,blue-collar,married,secondary,no,157,yes,no,73
45,blue-collar,married,primary,no,-66,yes,no,263
34,blue-collar,married,unknown,no,245,yes,no,13
34,blue-collar,married,primary,no,-144,yes,no,79
46,blue-collar,married,secondary,no,71,yes,no,416
49,services,divorced,secondary,no,505,yes,no,162
50,technician,married,primary,no,249,yes,no,129
34,admin.,single,secondary,no,0,yes,no,150
40,unemployed,single,secondary,no,11,yes,no,43
36,admin.,married,secondary,no,639,yes,no,191
59,blue-collar,divorced,unknown,no,124,yes,no,26
45,blue-collar,married,secondary,no,82,yes,no,250
36,self-employed,married,tertiary,no,107,yes,no,146
56,services,married,secondary,no,473,yes,no,416
42,services,divorced,secondary,no,372,yes,yes,121
30,admin.,married,secondary,no,46,yes,no,114
30,student,single,tertiary,no,34,yes,no,289
47,self-employed,married,unknown,no,935,yes,no,225
33,blue-collar,married,secondary,no,-10,yes,no,123
36,admin.,married,secondary,no,-106,yes,no,130
39,services,divorced,primary,no,471,yes,no,161
56,admin.,divorced,secondary,no,778,yes,no,149
39,blue-collar,divorced,unknown,no,170,yes,no,268
42,technician,married,secondary,no,315,yes,no,259
52,blue-collar,married,secondary,no,3165,no,no,26
36,admin.,divorced,secondary,no,131,yes,no,153
35,entrepreneur,married,secondary,yes,204,yes,no,424
47,technician,married,secondary,no,83,yes,no,179
59,services,divorced,secondary,no,0,yes,yes,97
57,blue-collar,married,primary,no,5431,yes,yes,383
38,management,married,unknown,no,1759,yes,no,440
46,unemployed,married,secondary,no,-125,yes,no,23
34,blue-collar,married,secondary,no,0,no,no,195
28,services,single,secondary,no,5090,yes,no,1297
38,technician,married,unknown,no,573,yes,no,87
56,blue-collar,married,secondary,no,1602,yes,no,427
41,blue-collar,single,primary,yes,-137,yes,yes,189
52,technician,married,unknown,no,0,no,no,195
54,services,married,secondary,no,193,no,no,179
61,retired,married,secondary,no,195,yes,yes,179
53,entrepreneur,married,secondary,no,288,no,no,69
47,technician,married,secondary,no,19,yes,no,105
53,blue-collar,married,primary,no,25,yes,no,266
46,services,married,secondary,no,216,yes,no,524
39,blue-collar,divorced,primary,no,190,yes,yes,96
56,technician,divorced,secondary,no,99,yes,no,155
55,services,divorced,primary,no,2298,yes,no,162
44,management,married,tertiary,no,17,yes,no,352
37,technician,married,primary,no,0,yes,no,76
35,blue-collar,married,primary,no,0,yes,no,154
55,blue-collar,married,secondary,no,840,yes,no,310
37,services,married,secondary,no,358,yes,no,390
30,technician,single,secondary,no,0,yes,no,369
37,blue-collar,married,primary,no,-325,yes,yes,112
36,technician,single,secondary,no,-15,yes,no,341
38,technician,married,secondary,no,581,yes,no,79
41,admin.,divorced,primary,no,4070,yes,no,140
